onset	duration	trial_type	direction	speedDegVA	target	event	block	keyName
5.320559	1.217551	static	-1	15	0	1	1	n/a
6.7215	1.200879	static	-1	15	1	2	1	n/a
8.055828999999999	1.20091	static	-1	15	0	3	1	n/a
9.390128000000001	1.200875	static	-1	15	0	4	1	n/a
10.741138	1.200867	static	-1	15	0	5	1	n/a
12.09204	1.200934	static	-1	15	0	6	1	n/a
13.426396	1.217528	static	-1	15	0	7	1	n/a
14.77734	1.200872	static	-1	15	0	8	1	n/a
16.111612	1.200879	static	-1	15	0	9	1	n/a
17.445923	1.200884	static	-1	15	0	10	1	n/a
18.780269	1.200872	static	-1	15	0	11	1	n/a
20.114579	1.200826	static	-1	15	0	12	1	n/a
29.48979	1.199027	motion	0	15	0	1	2	n/a
30.822215	1.20088	motion	180	15	0	2	2	n/a
32.156532	1.200867	motion	0	15	0	3	2	n/a
33.490817	1.200864	motion	180	15	0	4	2	n/a
34.825138	1.20086	motion	0	15	0	5	2	n/a
36.159447	1.200838	motion	180	15	0	6	2	n/a
37.510579	1.200717	motion	0	15	1	7	2	n/a
38.844685	1.200945	motion	180	15	0	8	2	n/a
40.178987	1.200885	motion	0	15	0	9	2	n/a
41.529806	1.200996	motion	180	15	0	10	2	n/a
42.864304	1.200828	motion	0	15	0	11	2	n/a
44.198593	1.200844	motion	180	15	0	12	2	n/a
53.539057	1.217094	static	-1	15	0	1	3	n/a
54.872921	1.200811	static	-1	15	0	2	3	n/a
56.190479	1.200904	static	-1	15	0	3	3	n/a
57.508098	1.200893	static	-1	15	0	4	3	n/a
58.825739	1.200867	static	-1	15	0	5	3	n/a
60.143347	1.200891	static	-1	15	0	6	3	n/a
61.460978	1.200846	static	-1	15	0	7	3	n/a
62.795308	1.20087	static	-1	15	0	8	3	n/a
64.129544	1.200921	static	-1	15	0	9	3	n/a
65.46389499999999	1.200877	static	-1	15	1	10	3	n/a
66.798171	1.200854	static	-1	15	0	11	3	n/a
68.132492	1.200869	static	-1	15	0	12	3	n/a
77.506176	1.200633	motion	0	15	0	1	4	n/a
78.840183	1.200902	motion	180	15	0	2	4	n/a
80.174487	1.200879	motion	0	15	0	3	4	n/a
81.50877300000001	1.20084	motion	180	15	0	4	4	n/a
82.843069	1.2009	motion	0	15	0	5	4	n/a
84.177397	1.200867	motion	180	15	0	6	4	n/a
85.511679	1.20088	motion	0	15	0	7	4	n/a
86.845994	1.200833	motion	180	15	0	8	4	n/a
88.18024800000001	1.200902	motion	0	15	1	9	4	n/a
89.51457499999999	1.200872	motion	180	15	0	10	4	n/a
90.84883600000001	1.200875	motion	0	15	0	11	4	n/a
92.18314700000001	1.200893	motion	180	15	0	12	4	n/a
101.557847	1.19961	static	-1	15	0	1	5	n/a
102.890888	1.200799	static	-1	15	0	2	5	n/a
104.225141	1.200911	static	-1	15	0	3	5	n/a
105.55948	1.200854	static	-1	15	1	4	5	n/a
106.893719	1.200869	static	-1	15	0	5	5	n/a
108.228005	1.200874	static	-1	15	0	6	5	n/a
109.562304	1.200922	static	-1	15	0	7	5	n/a
110.896629	1.200858	static	-1	15	0	8	5	n/a
112.214242	1.200946	static	-1	15	0	9	5	n/a
113.531923	1.200802	static	-1	15	0	10	5	n/a
114.849513	1.200852	static	-1	15	0	11	5	n/a
116.183719	1.200893	static	-1	15	0	12	5	n/a
125.523742	1.200962	motion	0	15	0	1	6	n/a
126.858115	1.200893	motion	180	15	0	2	6	n/a
128.192387	1.200888	motion	0	15	0	3	6	n/a
129.526683	1.200881	motion	180	15	0	4	6	n/a
130.860971	1.20095	motion	0	15	0	5	6	n/a
132.195291	1.200902	motion	180	15	0	6	6	n/a
133.52961	1.20086	motion	0	15	0	7	6	n/a
134.863926	1.200799	motion	180	15	0	8	6	n/a
