onset	duration	trial_type	direction	soundTarget	fixationTarget	event	block	keyName
182.646647	1.199967	static	-1	0	0	6	9	n/a
183.964408	1.199987	static	-1	0	1	7	9	n/a
185.283125	1.200002	static	-1	0	0	8	9	n/a
186.604714	1.200011	static	-1	0	0	9	9	n/a
187.937106	1.200001	static	-1	0	0	10	9	n/a
189.253933	0.5999910000000001	static	-1	1	0	11	9	n/a
189.970114	1.200023	static	-1	0	0	12	9	n/a
197.308833	1.200047	motion	0	0	0	1	10	n/a
198.625682	1.201555	motion	180	0	0	2	10	n/a
199.943406	1.200016	motion	0	0	0	3	10	n/a
201.265303	1.200038	motion	180	0	0	4	10	n/a
202.601509	1.20002	motion	0	0	0	5	10	n/a
203.938006	0.6000220000000001	motion	180	1	0	6	10	n/a
204.665307	1.200039	motion	0	0	0	7	10	n/a
205.979927	1.200026	motion	180	0	0	8	10	n/a
207.298012	1.200013	motion	0	0	0	9	10	n/a
208.615462	1.200017	motion	180	0	0	10	10	n/a
209.93387	1.200033	motion	0	0	1	11	10	n/a
211.268483	1.200035	motion	180	0	0	12	10	n/a
218.588188	1.199999	static	-1	0	0	1	11	n/a
219.911044	1.199981	static	-1	0	0	2	11	n/a
221.240867	1.199998	static	-1	0	0	3	11	n/a
222.558325	1.199989	static	-1	0	0	4	11	n/a
223.877997	1.200022	static	-1	0	0	5	11	n/a
225.195781	1.200018	static	-1	0	0	6	11	n/a
226.528498	1.199996	static	-1	0	1	7	11	n/a
227.849128	1.200003	static	-1	0	0	8	11	n/a
229.181512	1.199986	static	-1	0	0	9	11	n/a
230.498959	0.600021	static	-1	1	0	10	11	n/a
231.231361	1.199992	static	-1	0	0	11	11	n/a
232.54913	1.200015	static	-1	0	0	12	11	n/a
239.876734	1.200739	motion	0	0	0	1	12	n/a
241.213324	1.20003	motion	180	0	0	2	12	n/a
242.539997	1.200026	motion	0	0	0	3	12	n/a
243.857144	1.200033	motion	180	0	1	4	12	n/a
245.174923	1.200027	motion	0	0	0	5	12	n/a
246.493023	1.200035	motion	180	0	0	6	12	n/a
247.81494	1.200018	motion	0	0	0	7	12	n/a
249.147634	1.200007	motion	180	0	0	8	12	n/a
250.482221	0.6000450000000001	motion	0	1	0	9	12	n/a
251.21399	1.200001	motion	180	0	0	10	12	n/a
252.546984	1.200039	motion	0	0	0	11	12	n/a
253.864777	1.200005	motion	180	0	0	12	12	n/a
261.185736	1.199995	static	-1	0	0	1	13	n/a
262.513033	0.5999989999999999	static	-1	1	0	2	13	n/a
263.24065	1.200002	static	-1	0	0	3	13	n/a
264.573351	1.200011	static	-1	0	0	4	13	n/a
265.907648	1.199978	static	-1	0	0	5	13	n/a
267.224133	1.2	static	-1	0	1	6	13	n/a
268.544133	1.199991	static	-1	0	0	7	13	n/a
269.859362	1.200016	static	-1	0	0	8	13	n/a
271.177474	1.199997	static	-1	0	0	9	13	n/a
272.494931	1.199999	static	-1	0	0	10	13	n/a
273.813343	1.199988	static	-1	0	0	11	13	n/a
275.148569	1.20001	static	-1	0	0	12	13	n/a
282.471746	1.200004	motion	180	0	0	1	14	n/a
283.788552	1.200049	motion	0	0	0	2	14	n/a
285.103499	1.200034	motion	180	0	0	3	14	n/a
286.421606	1.200024	motion	0	0	0	4	14	n/a
287.73875	1.200004	motion	180	0	0	5	14	n/a
289.056508	1.200039	motion	0	0	0	6	14	n/a
290.37589	1.200021	motion	180	0	0	7	14	n/a
291.692396	1.200031	motion	0	0	0	8	14	n/a
293.010181	0.600028	motion	180	1	0	9	14	n/a
293.727329	1.200006	motion	0	0	0	10	14	n/a
295.058424	1.200018	motion	180	0	0	11	14	n/a
296.383181	1.200028	motion	0	0	1	12	14	n/a
303.725401	1.200001	static	-1	0	0	1	15	n/a
305.065084	1.200007	static	-1	0	1	2	15	n/a
306.387314	1.199999	static	-1	0	0	3	15	n/a
307.703482	1.200001	static	-1	0	0	4	15	n/a
309.021895	1.200015	static	-1	0	0	5	15	n/a
310.339053	1.200009	static	-1	0	0	6	15	n/a
311.657157	1.200819	static	-1	0	0	7	15	n/a
312.991309	0.600006	static	-1	1	0	8	15	n/a
313.709093	1.200007	static	-1	0	0	9	15	n/a
315.026243	1.199978	static	-1	0	0	10	15	n/a
316.343681	1.2	static	-1	0	0	11	15	n/a
317.660812	1.200016	static	-1	0	0	12	15	n/a
324.987864	1.200021	motion	180	0	0	1	16	n/a
326.323735	1.200013	motion	0	0	0	2	16	n/a
327.653248	1.200025	motion	180	0	0	3	16	n/a
328.968489	1.200032	motion	0	0	1	4	16	n/a
330.286276	1.200037	motion	180	0	0	5	16	n/a
331.60375	1.199987	motion	0	0	0	6	16	n/a
332.922127	1.200024	motion	180	0	0	7	16	n/a
334.246573	1.200039	motion	0	0	0	8	16	n/a
335.575801	1.200019	motion	180	0	0	9	16	n/a
336.892622	1.200004	motion	0	0	0	10	16	n/a
338.210699	0.600046	motion	180	1	0	11	16	n/a
338.927548	1.200015	motion	0	0	0	12	16	n/a
346.264046	1.199997	static	-1	0	0	1	17	n/a
347.616106	1.199998	static	-1	0	0	2	17	n/a
348.933248	1.199993	static	-1	0	0	3	17	n/a
350.251019	0.6	static	-1	1	0	4	17	n/a
350.968796	1.200011	static	-1	0	0	5	17	n/a
352.285315	1.200002	static	-1	0	1	6	17	n/a
353.604364	1.199991	static	-1	0	0	7	17	n/a
354.937371	1.200011	static	-1	0	0	8	17	n/a
356.255477	1.19999	static	-1	0	0	9	17	n/a
357.577689	1.200025	static	-1	0	0	10	17	n/a
358.915779	1.200011	static	-1	0	0	11	17	n/a
360.241504	1.199992	static	-1	0	0	12	17	n/a
367.563425	1.20002	motion	0	0	0	1	18	n/a
368.884057	1.200011	motion	180	0	0	2	18	n/a
370.217062	1.200007	motion	0	0	0	3	18	n/a
371.533554	1.200018	motion	180	0	0	4	18	n/a
372.854185	1.200029	motion	0	0	0	5	18	n/a
374.18435	1.200016	motion	180	0	0	6	18	n/a
375.507518	1.200047	motion	0	0	0	7	18	n/a
376.840876	1.200006	motion	180	0	0	8	18	n/a
378.172605	0.6000220000000001	motion	0	1	0	9	18	n/a
378.905303	1.200034	motion	180	0	0	10	18	n/a
380.222775	1.200023	motion	0	0	0	11	18	n/a
381.540553	1.200026	motion	180	0	1	12	18	n/a
388.860232	1.199998	static	-1	0	0	1	19	n/a
390.185623	1.200018	static	-1	0	0	2	19	n/a
391.531355	1.200004	static	-1	0	0	3	19	n/a
392.848185	1.199988	static	-1	0	0	4	19	n/a
394.16722	1.200002	static	-1	0	0	5	19	n/a
395.48373	1.200012	static	-1	0	1	6	19	n/a
396.819298	1.200006	static	-1	0	0	7	19	n/a
398.135494	1.199985	static	-1	0	0	8	19	n/a
399.453575	1.200015	static	-1	0	0	9	19	n/a
400.770733	1.199974	static	-1	0	0	10	19	n/a
402.089754	0.600003	static	-1	1	0	11	19	n/a
402.805948	1.199993	static	-1	0	0	12	19	n/a
410.128499	1.200013	motion	180	0	0	1	20	n/a
411.455155	1.200026	motion	0	0	0	2	20	n/a
412.798016	1.200003	motion	180	0	0	3	20	n/a
414.112916	1.200027	motion	0	0	0	4	20	n/a
415.431016	1.200041	motion	180	0	1	5	20	n/a
416.748494	1.200027	motion	0	0	0	6	20	n/a
418.067546	0.600023	motion	180	1	0	7	20	n/a
418.783102	1.200004	motion	0	0	0	8	20	n/a
420.102131	1.200032	motion	180	0	0	9	20	n/a
421.4196	1.200031	motion	0	0	0	10	20	n/a
422.737704	1.200023	motion	180	0	0	11	20	n/a
424.058974	1.200017	motion	0	0	0	12	20	n/a
431.419907	1.200009	static	-1	0	0	1	21	n/a
432.766899	1.200006	static	-1	0	0	2	21	n/a
434.094524	1.200004	static	-1	0	0	3	21	n/a
435.41294	1.199989	static	-1	0	0	4	21	n/a
436.729755	1.200013	static	-1	0	0	5	21	n/a
438.047546	1.199995	static	-1	0	0	6	21	n/a
439.368176	0.6	static	-1	1	0	7	21	n/a
440.101192	1.199989	static	-1	0	0	8	21	n/a
441.416431	1.199979	static	-1	0	0	9	21	n/a
442.734506	1.200009	static	-1	0	0	10	21	n/a
444.05261	1.2	static	-1	0	1	11	21	n/a
445.387531	1.199996	static	-1	0	0	12	21	n/a
452.709135	1.200034	motion	0	0	0	1	22	n/a
454.042797	0.600023	motion	180	1	0	2	22	n/a
454.759287	1.200008	motion	0	0	0	3	22	n/a
456.078637	1.200038	motion	180	0	0	4	22	n/a
457.394209	1.200021	motion	0	0	0	5	22	n/a
458.713255	1.200029	motion	180	0	0	6	22	n/a
460.029769	1.200006	motion	0	0	0	7	22	n/a
461.34753	1.20004	motion	180	0	0	8	22	n/a
462.665007	1.200013	motion	0	0	0	9	22	n/a
463.982775	1.200038	motion	180	0	1	10	22	n/a
465.317077	1.200011	motion	0	0	0	11	22	n/a
466.634842	1.200038	motion	180	0	0	12	22	n/a
473.955293	1.19998	static	-1	0	0	1	23	n/a
475.274955	1.2	static	-1	0	0	2	23	n/a
476.594592	0.60002	static	-1	1	0	3	23	n/a
477.30985	1.199995	static	-1	0	0	4	23	n/a
478.627623	1.199991	static	-1	0	0	5	23	n/a
479.944757	1.200017	static	-1	0	0	6	23	n/a
481.261916	1.200011	static	-1	0	0	7	23	n/a
482.585089	1.199996	static	-1	0	0	8	23	n/a
483.913339	1.200013	static	-1	0	0	9	23	n/a
485.231129	1.199974	static	-1	0	0	10	23	n/a
486.548881	1.200001	static	-1	0	1	11	23	n/a
487.867929	1.200019	static	-1	0	0	12	23	n/a
495.198557	1.200016	motion	180	0	0	1	24	n/a
496.546804	1.200018	motion	0	0	0	2	24	n/a
497.878863	1.200044	motion	180	0	0	3	24	n/a
499.194122	1.200007	motion	0	0	0	4	24	n/a
500.509673	1.200019	motion	180	0	0	5	24	n/a
501.826812	1.200019	motion	0	0	0	6	24	n/a
503.144586	1.200045	motion	180	0	0	7	24	n/a
504.467148	1.199998	motion	0	0	0	8	24	n/a
505.796648	1.200011	motion	180	0	1	9	24	n/a
507.11443	1.200018	motion	0	0	0	10	24	n/a
508.431886	0.600023	motion	180	1	0	11	24	n/a
509.148711	1.200031	motion	0	0	0	12	24	n/a
516.474115	1.200018	static	-1	0	0	1	25	n/a
517.795403	1.199995	static	-1	0	0	2	25	n/a
519.124287	1.199995	static	-1	0	0	3	25	n/a
520.457298	1.199982	static	-1	0	0	4	25	n/a
521.791248	1.200009	static	-1	0	0	5	25	n/a
523.108718	1.199996	static	-1	0	0	6	25	n/a
524.4264920000001	1.199992	static	-1	0	1	7	25	n/a
525.7436259999999	1.20002	static	-1	0	0	8	25	n/a
527.0636459999999	0.599992	static	-1	1	0	9	25	n/a
527.778559	1.199985	static	-1	0	0	10	25	n/a
529.096321	1.200032	static	-1	0	0	11	25	n/a
530.41667	1.199982	static	-1	0	0	12	25	n/a
537.741429	1.200006	motion	180	0	0	1	26	n/a
539.077285	1.200027	motion	0	0	0	2	26	n/a
540.405543	1.200018	motion	180	0	0	3	26	n/a
541.728405	0.600023	motion	0	1	0	4	26	n/a
542.455707	1.200025	motion	180	0	0	5	26	n/a
543.775074	1.200005	motion	0	0	0	6	26	n/a
545.0918799999999	1.200024	motion	180	0	1	7	26	n/a
546.409658	1.200016	motion	0	0	0	8	26	n/a
547.727112	1.200039	motion	180	0	0	9	26	n/a
549.044589	1.200029	motion	0	0	0	10	26	n/a
550.3620550000001	1.200025	motion	180	0	0	11	26	n/a
551.6807690000001	1.200045	motion	0	0	0	12	26	n/a
