onset	duration	trial_type	direction	soundTarget	fixationTarget	event	block	keyName
5.334989	1.200744	static	-1	0	0	1	1	n/a
6.666496	0.600401	static	-1	1	0	2	1	n/a
7.384788	1.20046	static	-1	0	0	3	1	n/a
8.060304	0	response	n/a	n/a	n/a	n/a	n/a	c
8.709371000000001	1.200305	static	-1	0	0	4	1	n/a
10.04493	1.199646	static	-1	0	0	5	1	n/a
11.370278	1.199922	static	-1	0	0	6	1	n/a
12.683574	1.199937	static	-1	0	0	7	1	n/a
14.001734	1.199929	static	-1	0	0	8	1	n/a
15.319117	1.200271	static	-1	0	0	9	1	n/a
16.637485	1.199739	static	-1	0	0	10	1	n/a
17.954679	1.199925	static	-1	0	0	11	1	n/a
19.273355	1.199936	static	-1	0	1	12	1	n/a
20.012316	0	response	n/a	n/a	n/a	n/a	n/a	c
26.598282	1.199934	motion	180	0	0	1	2	n/a
27.929967	1.199959	motion	0	0	0	2	2	n/a
29.247167	1.199952	motion	180	0	0	3	2	n/a
30.56487	1.200286	motion	0	0	1	4	2	n/a
31.364374	0	response	n/a	n/a	n/a	n/a	n/a	c
31.886089	1.199757	motion	180	0	0	5	2	n/a
33.200423	0.600155	motion	0	1	0	6	2	n/a
33.917382	1.199754	motion	180	0	0	7	2	n/a
34.476353	0	response	n/a	n/a	n/a	n/a	n/a	c
35.236471	1.199944	motion	0	0	0	8	2	n/a
36.553562	1.199958	motion	180	0	0	9	2	n/a
37.87096	1.199744	motion	0	0	0	10	2	n/a
39.188769	1.200297	motion	180	0	0	11	2	n/a
40.506823	1.199763	motion	0	0	0	12	2	n/a
47.825375	1.200275	static	-1	0	0	1	3	n/a
49.147556	1.199918	static	-1	0	0	2	3	n/a
50.465065	1.199928	static	-1	0	0	3	3	n/a
51.782456	1.199934	static	-1	0	0	4	3	n/a
53.100484	1.199745	static	-1	0	0	5	3	n/a
54.417684	1.200254	static	-1	0	1	6	3	n/a
55.028272	0	response	n/a	n/a	n/a	n/a	n/a	c
55.73889	1.199934	static	-1	0	0	7	3	n/a
57.053245	1.19992	static	-1	0	0	8	3	n/a
58.370944	1.199935	static	-1	0	0	9	3	n/a
59.688656	0.599619	static	-1	1	0	10	3	n/a
60.406047	1.200257	static	-1	0	0	11	3	n/a
60.908344	0	response	n/a	n/a	n/a	n/a	n/a	c
61.724715	1.199748	static	-1	0	0	12	3	n/a
69.042213	1.19977	motion	180	0	0	1	4	n/a
70.36418	1.199772	motion	0	0	0	2	4	n/a
71.681701	1.200459	motion	180	0	0	3	4	n/a
72.999728	0.600142	motion	0	1	0	4	4	n/a
73.71699	1.199957	motion	180	0	0	5	4	n/a
