onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.004841	0.99142	1	1	0.568847	0.568847	0.859059	2	2	1
3.999952	0.999045	1	2	0.450307	0.450307	0.7184	2	2	1
6.003659	1.005237	1	3	0.34952	0.34952	0.838665	2	2	1
8.012413	0.996772	0	4	0.271037	0.271037	0.597015	1	1	1
10.044455	0.997282	0	5	0.208787	0.208787	0.5471009999999999	1	1	1
12.044233	0.998766	0	6	0.160708	0.160708	0.732943	1	1	1
14.047185	0.995331	1	7	0.124492	0.124492	0.6646919999999999	2	2	1
16.045057	1.000129	1	8	0.095688	0.095688	0.6363220000000001	2	2	1
18.047803	0.999878	1	9	0.074957	0.074957	0.586313	2	1	0
20.050277	1.009712	0	10	0.119205	0.119205	0.625057	1	1	1
22.064461	0.993781	1	11	0.09471	0.09471	0.8107220000000001	2	2	1
24.060746	0.998072	1	12	0.07679999999999999	0.07679999999999999	0.848363	2	2	1
26.062246	0.996496	0	13	0.060398	0.060398	0.730818	1	1	1
28.062005	0.997594	0	14	0.047163	0.047163	0.997769	1	1	1
30.066602	0.996919	1	15	0.038494	0.038494	1.02234	2	1	0
32.195019	0.985222	1	16	0.06597799999999999	0.06597799999999999	0.670835	2	2	1
34.182755	1.008913	0	17	0.052554	0.052554	0.8089730000000001	1	1	1
36.194177	0.997496	1	18	0.043214	0.043214	0.664315	2	2	1
38.194196	0.997916	1	19	0.03572	0.03572	0.681426	2	1	0
40.19541	0.997819	1	20	0.058529	0.058529	0.797983	2	1	0
42.19774	0.994418	0	21	0.086241	0.086241	0.614154	1	1	1
44.194676	1.000089	0	22	0.073919	0.073919	0.61927	1	1	1
46.197488	0.99976	1	23	0.062959	0.062959	0.553016	2	2	1
48.202009	1.006163	0	24	0.052014	0.052014	0.556303	1	1	1
50.210672	0.997384	1	25	0.044236	0.044236	0.6976869999999999	2	2	1
52.210565	0.999209	1	26	0.037868	0.037868	0.582713	2	1	0
54.214274	0.994448	1	27	0.057384	0.057384	0.811152	2	1	0
56.212001	0.998506	1	28	0.08040700000000001	0.08040700000000001	0.732487	2	2	1
58.214184	0.998628	1	29	0.07054299999999999	0.07054299999999999	0.70124	2	1	0
60.217432	0.9995579999999999	0	30	0.091031	0.091031	0.634012	1	1	1
62.223525	1.001333	0	31	0.081577	0.081577	1.001499	1	1	1
64.26670900000001	0.992117	1	32	0.07271	0.07271	0.692759	2	1	0
66.26225599999999	0.995743	1	33	0.09112000000000001	0.09112000000000001	1.114469	2	2	1
68.481922	0.994704	0	34	0.08258799999999999	0.08258799999999999	0.711317	1	1	1
70.48110800000001	0.995102	1	35	0.074568	0.074568	0.746676	2	1	0
72.480659	0.997815	0	36	0.091206	0.091206	0.750041	1	1	1
74.48297700000001	0.995969	0	37	0.083458	0.083458	0.615617	1	1	1
76.481447	1.000711	0	38	0.07616299999999999	0.07616299999999999	0.637774	1	1	1
78.48557099999999	1.007597	1	39	0.06912	0.06912	0.641019	2	2	1
80.497975	0.993761	1	40	0.062471	0.062471	0.57716	2	1	0
82.494315	0.9974229999999999	0	41	0.077959	0.077959	0.614026	1	1	1
84.494348	0.997136	0	42	0.07144499999999999	0.07144499999999999	0.782165	1	1	1
86.49448	0.999577	0	43	0.06533	0.06533	0.88422	1	1	1
88.49750400000001	0.999895	1	44	0.059079	0.059079	0.603	2	2	1
90.50191	1.00779	0	45	0.052587	0.052587	0.624979	1	1	1
92.514178	0.9954809999999999	1	46	0.047238	0.047238	0.661069	2	1	0
94.51413100000001	0.993976	0	47	0.062316	0.062316	0.777702	1	2	0
96.510622	0.997299	0	48	0.075891	0.075891	0.864753	1	1	1
98.510436	0.997615	0	49	0.070261	0.070261	0.732633	1	1	1
100.510565	1.000094	0	50	0.06490700000000001	0.06490700000000001	1.00024	1	1	1
102.53045	0.99875	1	51	0.059403	0.059403	0.701076	2	2	1
104.531719	1.0098	0	52	0.053663	0.053663	0.7764760000000001	1	1	1
106.544049	0.997462	0	53	0.048418	0.048418	0.781269	1	1	1
108.544033	0.999258	0	54	0.044586	0.044586	0.81624	1	1	1
110.547856	0.993739	0	55	0.041042	0.041042	0.793892	1	1	1
112.544099	0.997385	1	56	0.037729	0.037729	0.599857	2	2	1
114.544028	0.999545	0	57	0.034599	0.034599	0.569363	1	1	1
116.546099	1.001485	1	58	0.031609	0.031609	0.636646	2	2	1
118.552092	1.006584	0	59	0.028722	0.028722	0.689618	1	1	1
120.561401	0.997605	1	60	0.025904	0.025904	0.713792	2	1	0
