onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.007534	0.986042	0	1	0.784978	0.284978	0.986218	1	1	1
4.040363	0.988782	0	2	0.741024	0.241024	0.608329	1	1	1
6.037432	0.994327	0	3	0.698933	0.198933	0.712951	1	1	1
8.039567999999999	0.995259	0	4	0.6624060000000001	0.162406	0.564173	2	2	1
10.039895	0.996371	0	5	0.63237	0.13237	0.665797	1	1	1
12.039395	0.999366	0	6	0.60844	0.10844	1.179335	1	1	1
14.376013	0.996073	0	7	0.589616	0.089616	0.814145	1	2	0
16.377319	0.997337	0	8	0.643696	0.143696	0.699397	1	1	1
18.377997	0.998942	0	9	0.62102	0.12102	0.84982	2	2	1
20.380203	1.000516	0	10	0.60261	0.10261	1.000831	1	2	0
22.485093	0.997259	0	11	0.65005	0.15005	0.681651	2	2	1
24.487604	0.997049	0	12	0.630193	0.130193	0.600223	2	2	1
26.489945	0.995695	0	13	0.613603	0.113603	0.714777	1	1	1
28.488921	1.000828	0	14	0.59888	0.09888	1.001133	1	2	0
30.588694	1.003124	0	15	0.637441	0.137441	0.605783	1	2	0
32.597087	0.994988	0	16	0.683161	0.183161	0.532394	2	2	1
34.595329	0.999463	0	17	0.664184	0.164184	0.668538	1	1	1
36.59899	0.998129	0	18	0.647459	0.147459	0.733295	2	2	1
38.600425	0.999066	0	19	0.633718	0.133718	0.999239	1	1	1
40.614084	0.987772	0	20	0.621337	0.121337	0.5419040000000001	2	2	1
42.605091	1.000995	0	21	0.610833	0.110833	0.570811	2	2	1
44.611237	0.995472	0	22	0.600877	0.100877	0.649683	1	1	1
46.610004	0.998973	0	23	0.592665	0.092665	0.603488	1	2	0
48.613716	0.997869	0	24	0.6173999999999999	0.1174	0.99804	1	2	0
50.684501	0.9961370000000001	0	25	0.64684	0.14684	0.583719	2	2	1
52.684588	0.997819	0	26	0.636238	0.136238	0.635606	2	2	1
54.687882	0.998131	0	27	0.626146	0.126146	0.518626	2	2	1
56.690649	0.996662	0	28	0.6177280000000001	0.117728	0.552204	2	2	1
58.690464	0.998818	0	29	0.609874	0.109874	0.603722	2	2	1
60.692456	1.000315	0	30	0.602318	0.102318	0.703672	1	1	1
62.696868	0.999305	0	31	0.595715	0.09571499999999999	0.635524	1	1	1
64.701365	0.996938	0	32	0.589786	0.089786	0.798441	1	2	0
66.703627	0.997223	0	33	0.608118	0.108118	0.68292	2	2	1
68.706125	0.997182	0	34	0.601266	0.101266	0.650142	2	2	1
70.708828	0.995995	0	35	0.595445	0.095445	0.616644	1	1	1
72.709181	0.998939	0	36	0.590085	0.090085	0.6517039999999999	2	2	1
74.712475	0.996644	0	37	0.584874	0.084874	0.682051	1	2	0
76.71266199999999	0.999996	0	38	0.59797	0.09797	0.57039	2	2	1
78.717906	0.997656	0	39	0.59292	0.09292	0.484761	2	2	1
80.721028	0.995735	0	40	0.588041	0.08804099999999999	0.516989	2	2	1
82.720798	0.999378	0	41	0.5832540000000001	0.08325399999999999	0.635863	2	2	1
84.725583	0.996893	0	42	0.578556	0.078556	0.550555	1	2	0
86.72785399999999	0.997041	0	43	0.590909	0.090909	0.5176770000000001	2	2	1
88.732502	0.993791	0	44	0.586407	0.086407	0.530803	1	2	0
90.730535	0.999042	0	45	0.597716	0.097716	0.552679	1	2	0
92.73481099999999	0.9974189999999999	0	46	0.612141	0.112141	0.997717	1	2	0
94.766391	1.000979	0	47	0.6253609999999999	0.125361	1.001277	1	2	0
96.83753299999999	0.99854	0	48	0.642205	0.142205	0.783855	1	1	1
98.84138400000001	0.997395	0	49	0.636184	0.136184	0.6338780000000001	2	2	1
100.844742	0.995269	0	50	0.6303840000000001	0.130384	0.614757	1	1	1
102.844099	1.032446	0	51	0.624629	0.124629	0.519765	2	2	1
104.882479	0.9964730000000001	0	52	0.619976	0.119976	0.533444	2	2	1
106.884597	0.996737	0	53	0.6155040000000001	0.115504	0.517516	2	2	1
108.886677	0.99591	0	54	0.611138	0.111138	0.499579	2	2	1
110.886658	0.9991679999999999	0	55	0.606884	0.106884	0.602747	2	2	1
112.89027	0.998358	0	56	0.602582	0.102582	0.601301	1	1	1
114.894078	0.994924	0	57	0.598549	0.098549	0.501333	2	2	1
116.892322	1.001007	0	58	0.5951109999999999	0.095111	0.653933	2	2	1
118.898941	0.995771	0	59	0.591781	0.091781	0.731249	1	2	0
120.897565	0.983612	0	60	0.601907	0.101907	0.619563	2	2	1
