onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.033481	0.994739	1	1	0.784978	0.284978	1.130247	2	2	1
4.331431	0.994739	0	2	0.741024	0.241024	1.136942	1	1	1
6.620081	0.994739	0	3	0.698933	0.198933	1.237817	1	1	1
8.996737	0.994739	0	4	0.6624060000000001	0.162406	1.150243	1	1	1
11.294831	0.994739	1	5	0.63237	0.13237	1.164415	2	2	1
13.615707	0.994739	0	6	0.60844	0.10844	1.170951	1	1	1
15.925434	0.994739	1	7	0.589616	0.089616	1.269877	2	2	1
18.351712	0.994739	0	8	0.573843	0.07384300000000001	1.147667	1	1	1
20.647019	0.994739	0	9	0.562462	0.062462	1.197513	1	1	1
22.99112	0.994739	0	10	0.55236	0.05236	1.059562	1	1	1
25.183311	0.994739	0	11	0.544773	0.044773	1.067966	1	1	1
27.391422	0.994739	1	12	0.5384910000000001	0.038491	1.429358	2	1	0
29.959059	0.994739	1	13	0.557435	0.057435	1.25318	2	2	1
32.390697	0.994739	1	14	0.548845	0.048845	1.164787	2	2	1
34.719025	0.994739	1	15	0.542674	0.042674	0.965883	2	1	0
36.846824	0.994739	0	16	0.561962	0.061962	0.971905	1	1	1
38.983372	0.994739	0	17	0.553518	0.053518	0.987884	1	1	1
41.135533	0.994739	1	18	0.546606	0.046606	1.09107	2	2	1
43.390486	0.994739	1	19	0.541085	0.041085	1.253864	2	1	0
45.800025	0.994739	0	20	0.558047	0.058047	1.011801	1	1	1
47.959042	0.994739	0	21	0.5504250000000001	0.050425	1.005667	1	1	1
50.103846	0.994739	1	22	0.544874	0.044874	1.852007	2	1	0
53.087035	0.994739	0	23	0.562106	0.062106	1.100171	1	1	1
55.326488	0.994739	0	24	0.554922	0.054922	0.988323	1	1	1
57.453299	0.994739	1	25	0.5484560000000001	0.048456	1.077788	2	2	1
59.688874	0.994739	1	26	0.543525	0.043525	1.338446	2	2	1
62.182876	0.994739	0	27	0.538953	0.038953	1.060042	1	1	1
64.398498	0.994739	0	28	0.534649	0.034649	1.003735	1	1	1
66.552926	0.994739	0	29	0.530648	0.030648	1.009199	1	1	1
68.71075	0.994739	1	30	0.5267539999999999	0.026754	1.381988	2	1	0
71.238444	0.994739	0	31	0.536664	0.036664	0.988213	1	1	1
73.374498	0.994739	1	32	0.5327769999999999	0.032777	0.940497	2	2	1
75.446529	0.994739	1	33	0.529003	0.029003	1.373965	2	2	1
77.95786099999999	0.994739	1	34	0.525299	0.025299	1.29451	2	1	0
80.416269	0.994739	0	35	0.534794	0.034794	1.010545	1	1	1
82.57552699999999	0.994739	0	36	0.531131	0.031131	1.115787	1	1	1
84.839145	0.994739	0	37	0.527545	0.027545	1.148342	1	1	1
87.128289	0.994739	1	38	0.524329	0.024329	1.379155	2	1	0
89.64697700000001	0.994739	1	39	0.533145	0.033145	0.868933	2	1	0
91.695167	0.994739	0	40	0.542134	0.042134	1.00491	1	1	1
93.84717000000001	0.994739	0	41	0.538421	0.038421	1.165261	1	1	1
96.151972	0.994739	1	42	0.534867	0.034867	1.026821	2	1	0
98.32673800000001	0.994739	1	43	0.543547	0.043547	1.203552	2	1	0
100.678446	0.994739	1	44	0.5554	0.0554	1.269545	2	1	0
103.095025	0.994739	0	45	0.5684399999999999	0.06844	1.053509	1	1	1
105.296937	0.994739	1	46	0.563316	0.063316	1.170421	2	2	1
107.647083	0.994739	1	47	0.55838	0.05838	1.747628	2	2	1
110.543528	0.994739	0	48	0.553644	0.053644	1.019112	1	1	1
112.710977	0.994739	0	49	0.549162	0.049162	1.01204	1	1	1
114.864796	0.994739	1	50	0.545652	0.045652	1.499498	2	2	1
117.534862	0.994739	1	51	0.542334	0.042334	2.212546	2	1	0
120.895214	0.994739	0	52	0.552322	0.052322	0.9309269999999999	1	1	1
122.966664	0.994739	0	53	0.548341	0.048341	0.924505	1	1	1
125.054671	0.994739	1	54	0.545049	0.045049	1.052259	2	2	1
127.270908	0.994739	1	55	0.541922	0.041922	1.460076	2	1	0
129.887194	0.994739	1	56	0.551172	0.051172	1.178997	2	2	1
132.234641	0.994739	0	57	0.54764	0.04764	0.880018	1	1	1
134.262806	0.994739	0	58	0.544539	0.044539	1.102043	1	1	1
136.478812	0.994739	1	59	0.541581	0.041581	1.029154	2	2	1
138.671563	0.994739	1	60	0.538732	0.038732	1.587544	2	1	0
