onset	duration	trial_type	event_number	coherence	coherence_scale	response_time	correct_response	subject_response	is_correct_response
2.03898	0.994739	0	1	0.784978	0.284978	0.904539	1	1	1
4.12109	0.994739	0	2	0.741024	0.241024	0.99089	1	1	1
6.271508	0.994739	0	3	0.698933	0.198933	1.088503	1	1	1
8.488002	0.994739	1	4	0.6624060000000001	0.162406	1.112059	2	2	1
10.764136	0.994739	0	5	0.63237	0.13237	1.061681	1	1	1
12.978128	0.994739	1	6	0.60844	0.10844	1.182149	2	2	1
15.276422	0.994739	1	7	0.589616	0.089616	1.163505	2	1	0
17.565216	0.994739	1	8	0.643696	0.143696	1.170595	2	2	1
19.879243	0.994739	0	9	0.62102	0.12102	1.024541	1	1	1
22.046142	0.994739	1	10	0.60261	0.10261	1.03502	2	2	1
24.197041	0.994739	1	11	0.588081	0.08808100000000001	1.707745	2	1	0
27.044179	0.994739	0	12	0.63127	0.13127	1.115718	1	1	1
29.290606	0.994739	0	13	0.614193	0.114193	1.188981	1	1	1
31.620142	0.994739	0	14	0.599128	0.09912799999999999	1.125618	1	1	1
33.858629	0.994739	1	15	0.587433	0.087433	1.196828	2	2	1
36.172308	0.994739	1	16	0.5766790000000001	0.076679	1.381337	2	2	1
38.66784	0.994739	0	17	0.568053	0.068053	1.108749	1	1	1
40.899446	0.994739	1	18	0.560346	0.060346	1.300881	2	2	1
43.324308	0.994739	1	19	0.553224	0.053224	1.643603	2	1	0
46.077383	0.994739	1	20	0.571201	0.071201	1.700052	2	2	1
48.899616	0.994739	0	21	0.563916	0.063916	1.117656	1	1	1
51.132031	0.994739	0	22	0.557043	0.057043	1.117551	1	1	1
53.372775	0.994739	1	23	0.55057	0.05057	1.291774	2	2	1
55.781211	0.994739	1	24	0.545667	0.045667	1.402908	2	1	0
58.315784	0.994739	1	25	0.560799	0.060799	1.23652	2	1	0
60.685613	0.994739	1	26	0.576949	0.076949	1.954275	2	1	0
63.755776	0.994739	1	27	0.59835	0.09835000000000001	1.132036	2	2	1
65.979473	0.994739	0	28	0.590135	0.09013500000000001	1.133592	1	1	1
68.23465400000001	0.994739	0	29	0.582321	0.08232100000000001	1.151218	1	1	1
70.50071199999999	0.994739	0	30	0.574874	0.074874	1.138582	1	1	1
72.75509	0.994739	1	31	0.569016	0.06901599999999999	1.189339	2	1	0
75.07382699999999	0.994739	0	32	0.587187	0.087187	1.134121	1	1	1
77.347593	0.994739	1	33	0.580298	0.08029799999999999	1.253477	2	2	1
79.701013	0.994739	0	34	0.57375	0.07375	1.140057	1	1	1
81.972437	0.994739	1	35	0.568429	0.068429	1.451659	2	1	0
84.548118	0.994739	1	36	0.584967	0.084967	1.300103	2	2	1
86.96489800000001	0.994739	1	37	0.578657	0.078657	1.787544	2	2	1
89.861079	0.994739	1	38	0.572869	0.072869	1.661541	2	1	0
92.68355699999999	0.994739	0	39	0.589	0.089	1.238058	1	1	1
95.06852600000001	0.994739	1	40	0.583013	0.083013	1.314758	2	2	1
97.52390699999999	0.994739	1	41	0.5772119999999999	0.077212	1.348256	2	2	1
99.995395	0.994739	0	42	0.572113	0.072113	1.141291	1	1	1
102.276221	0.994739	1	43	0.567651	0.067651	1.699951	2	1	0
105.100118	0.994739	0	44	0.581499	0.081499	1.140964	1	1	1
107.372306	0.994739	0	45	0.576103	0.076103	1.139699	1	1	1
109.619971	0.994739	1	46	0.571562	0.071562	1.299825	2	2	1
112.019338	0.994739	0	47	0.56743	0.06743	1.060529	1	1	1
114.220073	0.994739	0	48	0.563442	0.063442	1.124694	1	1	1
116.467838	0.994739	1	49	0.559545	0.059545	1.188411	2	2	1
118.762644	0.994739	0	50	0.555758	0.055758	1.165402	1	1	1
121.051624	0.994739	0	51	0.551948	0.051948	1.164307	1	1	1
123.34858	0.994739	1	52	0.548519	0.048519	1.15562	2	1	0
125.644297	0.994739	0	53	0.558346	0.058346	1.123685	1	1	1
127.900887	0.994739	0	54	0.554732	0.054732	1.131002	1	1	1
130.148452	0.994739	0	55	0.551078	0.051078	1.107691	1	1	1
132.388534	0.994739	0	56	0.547977	0.047977	1.011629	1	1	1
134.556405	0.994739	1	57	0.5452399999999999	0.04524	1.179777	2	1	0
136.868303	0.994739	0	58	0.553809	0.053809	1.179036	1	1	1
139.172443	0.994739	1	59	0.550293	0.050293	1.108538	2	1	0
141.395851	0.994739	0	60	0.5596	0.0596	0.989127	1	1	1
